Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
XLM,2018-06-05,0.2937256135,0.2915692243,0.2985672869,0.279426079
XLM,2018-06-11,0.2452148027,0.2374109243,0.2458220291,0.2353805868
XLM,2018-06-12,0.2272893758,0.2525752757,0.2531542702,0.2246816565
XLM,2018-06-13,0.2193332897,0.2272875775,0.2302942148,0.2042186488
XLM,2018-06-14,0.2399756641,0.2190247192,0.2449142143,0.2166366098
XLM,2018-06-15,0.2314821808,0.2406797063,0.2416108295,0.2308021787
XLM,2018-06-16,0.2318453881,0.2314822095,0.2333137562,0.2226985499
XLM,2018-06-17,0.2302181061,0.2296183966,0.2334467008,0.2267264358
XLM,2018-06-18,0.2337719096,0.2283487383,0.2399363109,0.2207496838
XLM,2018-06-19,0.2337343699,0.2325377711,0.2403360475,0.2305076126
XLM,2018-06-20,0.2297012726,0.2343521325,0.2356283079,0.2240267183
XLM,2018-06-21,0.2268223247,0.2306622974,0.2360460639,0.2249931058
XLM,2018-06-22,0.2015990572,0.2266606488,0.2272527806,0.1959572553
XLM,2018-06-23,0.2027201799,0.200518937,0.2042070576,0.1953395848
XLM,2018-06-24,0.1935569232,0.2026967192,0.2029133496,0.1764526404
XLM,2018-06-25,0.1977510248,0.1928422578,0.20028724,0.1879468832
XLM,2018-06-26,0.1859051572,0.1975140276,0.1981106401,0.1852889054
XLM,2018-06-27,0.1909318927,0.1862205913,0.1929654262,0.1811722806
XLM,2018-06-28,0.180089987,0.1909581174,0.1925784042,0.1786003182
XLM,2018-06-29,0.1853899408,0.1800460758,0.1860025414,0.1711114818
XLM,2018-06-30,0.1913645618,0.1852099808,0.2021888825,0.1852099808
XLM,2018-07-01,0.1987369411,0.1930177496,0.1997718162,0.1888329767
XLM,2018-07-02,0.2165399376,0.198740515,0.2168738975,0.1938035653
XLM,2018-07-03,0.2040888416,0.2164698667,0.2213373134,0.2035768386
XLM,2018-07-04,0.2105957865,0.2050719958,0.2174534848,0.2030243911
