Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
XTZ,2019-01-31,0.3805,0.3748,0.391,0.3692
XTZ,2019-02-01,0.37,0.3805,0.391,0.37
XTZ,2019-02-02,0.3618,0.37,0.4099,0.3618
XTZ,2019-02-03,0.363,0.3748,0.4031,0.3571
XTZ,2019-02-04,0.3718,0.363,0.3797,0.363
XTZ,2019-02-05,0.3617,0.3718,0.3718,0.355
XTZ,2019-02-06,0.3601,0.3617,0.38,0.359
XTZ,2019-02-07,0.3834,0.3601,0.41,0.3568
XTZ,2019-02-08,0.3783,0.3834,0.3949,0.3732
XTZ,2019-02-09,0.3771,0.4089,0.4089,0.3653
XTZ,2019-02-10,0.3761,0.3771,0.3864,0.3744
XTZ,2019-02-11,0.3826,0.3761,0.3899,0.3745
XTZ,2019-02-12,0.3883,0.3826,0.4047,0.3826
XTZ,2019-02-13,0.416,0.3883,0.4574,0.3883
XTZ,2019-02-14,0.4545,0.416,0.469,0.416
XTZ,2019-02-15,0.4373,0.4545,0.6777,0.4207
XTZ,2019-02-16,0.4317,0.4373,0.4697,0.4265
XTZ,2019-02-17,0.4506,0.4317,0.47,0.431
XTZ,2019-02-18,0.4465,0.4506,0.4615,0.4244
XTZ,2019-02-19,0.4531,0.4465,0.459,0.44
XTZ,2019-02-20,0.432,0.4531,0.4625,0.43
XTZ,2019-02-21,0.4417,0.432,0.475,0.43
XTZ,2019-02-22,0.4482,0.4417,0.4535,0.436
XTZ,2019-02-23,0.418,0.4482,0.464,0.4172
XTZ,2019-02-24,0.42,0.418,0.44,0.413
XTZ,2019-02-25,0.4036,0.42,0.4499,0.3939
XTZ,2019-02-26,0.4012,0.4036,0.422,0.3952
XTZ,2019-02-27,0.4098,0.4012,0.41,0.4
XTZ,2019-02-28,0.403,0.4098,0.4325,0.4026
XTZ,2019-03-01,0.3995,0.403,0.4119,0.392
XTZ,2019-03-02,0.4024,0.3995,0.4052,0.3919
XTZ,2019-03-03,0.3996,0.4024,0.4043,0.3916
XTZ,2019-03-04,0.42,0.3996,0.431,0.397
XTZ,2019-03-05,0.4075,0.42,0.43,0.4057
XTZ,2019-03-06,0.4103,0.4075,0.4137,0.4
XTZ,2019-03-07,0.3971,0.4103,0.4135,0.37
XTZ,2019-03-08,0.409,0.3971,0.4269,0.3971
XTZ,2019-03-09,0.4447,0.409,0.45,0.409
XTZ,2019-03-10,0.441,0.4447,0.4655,0.441
XTZ,2019-03-11,0.4512,0.441,0.4767,0.4219
XTZ,2019-03-12,0.4503,0.4512,0.4601,0.4349
XTZ,2019-03-13,0.44,0.4503,0.4503,0.4318
XTZ,2019-03-14,0.447,0.44,0.455,0.44
XTZ,2019-03-15,0.5045,0.447,0.5099,0.446
XTZ,2019-03-16,0.4896,0.5045,0.54,0.48
XTZ,2019-03-17,0.491,0.4896,0.505,0.475
XTZ,2019-03-18,0.5985,0.491,0.6,0.4785
XTZ,2019-03-19,0.6365,0.5985,0.6944,0.55
XTZ,2019-03-20,0.8299,0.6365,0.83,0.591
XTZ,2019-03-21,0.7474,0.8299,0.8299,0.692
