Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,2018-06-13,475.9563346534,489.923470783,501.1681451701,450.7542755398
ETH,2018-06-14,512.9190714243,475.5878042643,522.6306856787,461.8981273461
ETH,2018-06-15,488.3687530754,516.7507828845,520.0761180243,486.4372745313
ETH,2018-06-16,500.0207312648,488.3688244394,502.2815663993,483.9860360934
ETH,2018-06-17,498.8184644134,496.4411408089,506.9781327999,493.8980481817
ETH,2018-06-18,516.891022304,496.4476116683,521.5391256945,487.6635544901
ETH,2018-06-19,534.7978410611,516.9677209882,543.430151237,514.3518719926
ETH,2018-06-20,534.2355789211,535.5706357968,538.9510421004,517.1875163138
ETH,2018-06-21,524.5293003277,535.3268278379,541.0882148241,520.3566254537
ETH,2018-06-22,470.3616439163,524.5268059165,524.532449811,459.4532097128
ETH,2018-06-23,477.9411746919,469.1936167675,480.0134846837,450.0692789274
ETH,2018-06-24,462.3994712627,477.9640502753,477.9640521629,437.1716051473
ETH,2018-06-25,459.0803912446,463.7088698135,466.310965111,448.8502318201
ETH,2018-06-26,436.0422349966,459.698842697,460.9761399707,433.993319483
ETH,2018-06-27,434.7699917413,437.2443227168,441.5424188504,416.5961617703
ETH,2018-06-28,421.966667221,434.8822936628,442.5593933712,420.0944679972
ETH,2018-06-29,429.1666216748,422.1236940282,430.5235998958,400.2496339339
ETH,2018-06-30,431.3976062845,428.7268443991,455.0066353264,422.3135480878
ETH,2018-07-01,440.7371841041,437.3199168414,455.1000879239,424.6658173211
ETH,2018-07-02,469.0499410871,440.7354998908,476.0864972062,434.9051020462
ETH,2018-07-03,444.4693275117,467.3425524708,482.3610387043,443.7309813423
ETH,2018-07-04,400.6601286801,443.1781179056,479.8307173272,398.0929951549
ETH,2018-07-05,467.6379308478,400.6602053743,472.4024692749,366.1234431866
ETH,2018-07-07,468.514072072,468.2244216625,472.9963412641,459.7077960792
ETH,2018-07-08,490.2092957324,468.5819489641,494.8179250675,467.6026454107
ETH,2018-07-09,476.6778611528,490.2092957248,490.2098722363,472.694916784
ETH,2018-07-10,437.805169228,477.0675978998,478.4279586416,429.0429491115
ETH,2018-07-11,440.6431414419,432.2055234252,447.9718494857,425.0363902602
ETH,2018-07-12,424.2814103573,444.8302130218,445.0192897173,423.1055558304
ETH,2018-07-14,433.4045741942,433.9656692594,439.9205816107,428.8062537391
ETH,2018-07-15,449.8275290499,433.510211555,455.3552542148,431.1869291639
ETH,2018-07-16,475.4163206341,449.867662028,479.8723849748,444.7992656606
ETH,2018-07-17,499.6780591979,479.68072629,510.0291468777,465.9895714743
ETH,2018-07-18,480.6790498918,499.6777023155,514.5040939704,469.9111607575
ETH,2018-07-19,469.2643809001,480.6786072097,483.6858506468,462.7199589549
ETH,2018-07-20,450.1085443907,469.2645719894,471.9068600051,440.9853759136
ETH,2018-07-21,464.1531628749,450.1374858137,468.9558877695,442.0350847913
ETH,2018-07-22,457.9176405882,464.4453852906,472.2295587126,454.588845978
ETH,2018-07-23,450.5578226964,457.7700250646,469.9706328068,448.0036714392
ETH,2018-07-24,476.8981974596,450.5396311039,484.2197737623,447.5288170407
ETH,2018-07-25,475.1970812708,475.9993795137,485.2349191643,464.4126825048
ETH,2018-07-26,462.6938103929,475.5910345179,484.9525918734,462.07063862
ETH,2018-07-27,472.4247446194,462.8697213898,473.8373156603,456.9783915043
ETH,2018-07-28,466.8324427201,469.4606846745,471.9852430984,461.0283575715
ETH,2018-07-29,465.7744994905,466.7854089617,471.8536875399,461.6855438089
ETH,2018-07-30,455.5215743169,466.3782722412,469.2795858379,446.4605836941
ETH,2018-07-31,430.6546991207,455.521442447,458.2524242177,428.022951747
ETH,2018-08-01,420.8337079345,432.2940800109,434.9427153595,407.6494871823
ETH,2018-08-02,411.5598612263,420.9586629968,425.043196053,408.0267500783
ETH,2018-08-03,417.4339014932,410.9269844312,420.9480146944,398.0176307729
ETH,2018-08-04,415.409666097,417.4151233329,419.7346985162,414.5422870611
ETH,2018-08-05,415.6028997435,415.4160947251,415.6851910178,415.1931818131
ETH,2018-08-06,415.3476442224,415.6029857584,415.6749394133,415.3123853906
ETH,2018-08-07,380.4379760252,415.3475498017,415.6036516207,369.8729125215
ETH,2018-08-08,366.8881165028,378.4364370163,380.490726016,365.1508457728
ETH,2018-08-09,367.5968490141,366.9128388512,367.6078101934,366.8481829858
ETH,2018-08-10,328.7843935286,367.5956694326,367.5973192326,311.0661492003
